sku,included_1,included_2,included_3,included_4,included_5,included_6,included_7,included_8,included_9,included_10,not_included_1,not_included_2,not_included_3,not_included_4,not_included_5,not_included_6,not_included_7,not_included_8,not_included_9,not_included_10,language,market
33727000,,,,,,,,,,,,,,,,,,,,,de,DE
33727IF0,,,,,,,,,,,,,,,,,,,,,de,DE
27506000,,,,,,,,,,,,,,,,,,,,,de,DE
27530000,,,,,,,,,,,,,,,,,,,,,de,DE
27606000,,,,,,,,,,,,,,,,,,,,,de,DE
27637000,,,,,,,,,,,,,,,,,,,,,de,DE
33858000,,,,,,,,,,,,,,,,,,,,,de,DE
27672000,,,,,,,,,,,,,,,,,,,,,de,DE
27684000,,,,,,,,,,,,,,,,,,,,,de,DE
33863IK0,,,,,,,,,,,,,,,,,,,,,de,DE
27923000,,,,,,,,,,,,,,,,,,,,,de,DE
27933000,,,,,,,,,,,,,,,,,,,,,de,DE
27947000,,,,,,,,,,,,,,,,,,,,,de,DE
34012000,,,,,,,,,,,,,,,,,,,,,de,DE
28034LS0,,,,,,,,,,,,,,,,,,,,,de,DE
34134BK0,,,,,,,,,,,,,,,,,,,,,de,DE
28063G00,,,,,,,,,,,,,,,,,,,,,de,DE
28083000,,,,,,,,,,,,,,,,,,,,,de,DE
34202000,,,,,,,,,,,,,,,,,,,,,de,DE
28143KS0,,,,,,,,,,,,,,,,,,,,,de,DE
28145000,,,,,,,,,,,,,,,,,,,,,de,DE
34256000,,,,,,,,,,,,,,,,,,,,,de,DE
28176000,,,,,,,,,,,,,,,,,,,,,de,DE
28176IG0,,,,,,,,,,,,,,,,,,,,,de,DE
34327LS0,,,,,,,,,,,,,,,,,,,,,de,DE
34427000,,,,,,,,,,,,,,,,,,,,,de,DE
34472LG0,,,,,,,,,,,,,,,,,,,,,de,DE
34481000,,,,,,,,,,,,,,,,,,,,,de,DE
34499Z00,,,,,,,,,,,,,,,,,,,,,de,DE
34558000,,,,,,,,,,,,,,,,,,,,,de,DE
34663L00,,,,,,,,,,,,,,,,,,,,,de,DE
28401000,,,,,,,,,,,,,,,,,,,,,de,DE
34694MB0,,,,,,,,,,,,,,,,,,,,,de,DE
66728000,,,,,,,,,,,,,,,,,,,,,de,DE
13340000,,,,,,,,,,,,,,,,,,,,,de,DE
46584LS0,,,,,,,,,,,,,,,,,,,,,de,DE
46832000,,,,,,,,,,,,,,,,,,,,,de,DE
47350000,,,,,,,,,,,,,,,,,,,,,de,DE
47373000,,,,,,,,,,,,,,,,,,,,,de,DE
47421000,,,,,,,,,,,,,,,,,,,,,de,DE
47451YA0,,,,,,,,,,,,,,,,,,,,,de,DE
47538IN0,,,,,,,,,,,,,,,,,,,,,de,DE
47658000,,,,,,,,,,,,,,,,,,,,,de,DE
47668000,,,,,,,,,,,,,,,,,,,,,de,DE
47695IP0,,,,,,,,,,,,,,,,,,,,,de,DE
39306000,,,,,,,,,,,,,,,,,,,,,de,DE
47805KS0,,,,,,,,,,,,,,,,,,,,,de,DE
47808000,,,,,,,,,,,,,,,,,,,,,de,DE
47839000,,,,,,,,,,,,,,,,,,,,,de,DE
47900000,,,,,,,,,,,,,,,,,,,,,de,DE
47924000,,,,,,,,,,,,,,,,,,,,,de,DE
47958000,,,,,,,,,,,,,,,,,,,,,de,DE
48042000,,,,,,,,,,,,,,,,,,,,,de,DE
48069000,,,,,,,,,,,,,,,,,,,,,de,DE
48075000,,,,,,,,,,,,,,,,,,,,,de,DE
48093000,,,,,,,,,,,,,,,,,,,,,de,DE
48098000,,,,,,,,,,,,,,,,,,,,,de,DE
48194DC0,,,,,,,,,,,,,,,,,,,,,de,DE
26382000,,,,,,,,,,,,,,,,,,,,,de,DE
14923000,,,,,,,,,,,,,,,,,,,,,de,DE
14930000,,,,,,,,,,,,,,,,,,,,,de,DE
39377XI0,,,,,,,,,,,,,,,,,,,,,de,DE
26254LS0,,,,,,,,,,,,,,,,,,,,,de,DE
23106DC1,,,,,,,,,,,,,,,,,,,,,de,DE
29146000,,,,,,,,,,,,,,,,,,,,,de,DE
49008000,,,,,,,,,,,,,,,,,,,,,de,DE
30339001,,,,,,,,,,,,,,,,,,,,,de,DE
49012000,,,,,,,,,,,,,,,,,,,,,de,DE
49032000,,,,,,,,,,,,,,,,,,,,,de,DE
27789002,,,,,,,,,,,,,,,,,,,,,de,DE
